Price,Close,High,Low,Open,Volume
Ticker,,,,,
Date,,,,,
7/16/2024,233.4619904,234.9036016,230.9863851,233.6409421,43234300
7/17/2024,227.5563354,230.1214165,225.3292845,228.1230311,57345900
7/18/2024,222.8834991,229.1073056,220.9845567,228.9482273,66034600
7/19/2024,223.0127563,225.4883615,221.9887143,223.5198166,49151500
7/22/2024,222.6647949,226.4626951,221.799816,225.6971439,48201800
7/23/2024,223.7087097,225.627556,221.3921828,223.0724116,39960300
7/24/2024,217.276123,223.4999296,215.874289,222.7045532,61777600
7/25/2024,216.2322083,219.5727772,213.3787958,217.6638676,51391200
7/26/2024,216.6994934,218.2206438,214.7607586,217.4352041,41601300
7/29/2024,216.9778748,218.0317421,214.5022695,215.7052785,36311800
7/30/2024,217.5346375,219.0557879,214.8701286,217.9223814,41643800
7/31/2024,220.7956543,222.5255969,219.3540431,220.1593562,50036300
8/1/2024,217.0971527,223.1817539,215.764906,223.0723894,62501000
8/2/2024,218.5884857,224.2952951,216.4509259,217.8825852,105568600
8/5/2024,208.0597382,212.2652707,194.866478,197.938604,119548600
8/6/2024,206.0315399,208.775588,199.9071761,204.1127088,69660500
8/7/2024,208.6065674,212.4044675,205.196396,205.7034411,63516400
8/8/2024,212.0763855,212.9612379,207.6222984,211.8775452,47161100
8/9/2024,214.9894562,215.5263266,210.744146,210.873399,42201600
8/12/2024,216.5222931,218.4931165,214.6012411,215.069065,38028100
8/13/2024,220.2449799,220.8621029,217.9954395,217.9954395,44155300
8/14/2024,220.6928864,221.9968154,218.6822397,219.5482198,41960600
8/15/2024,223.6789856,224.306072,221.7280586,223.5595464,46414000
8/16/2024,225.0028534,225.7792389,222.613962,222.8827155,44340200
8/19/2024,224.8435669,224.9431097,222.0067634,224.6743562,40687800
8/20/2024,225.4606934,226.1176396,224.4056062,224.7241311,30299000
8/21/2024,225.3512268,226.9239095,224.0074896,225.4706813,34765500
8/22/2024,223.4898682,227.282216,222.8627818,226.7347608,43695300
8/23/2024,225.7891693,227.1627814,223.2908023,224.6146429,38677300
8/26/2024,226.127594,226.2271368,222.8528414,225.7095414,30602200
8/27/2024,226.9736633,227.789872,223.8482098,224.9530684,35934600
